ID,p1,p2,class,commit_url,method,file,fix hash,fix addr,bug hash,bug addr,UTC of buggy commit
1,owncloud,android,android.database.Cursor,https://github.com/owncloud/android/commit/0c8dfb6e8d63c4b117fe89c8f519219e10b84133,delete() @line 176,FileContentProvider.java,6e07c64eb4e2c9d4d4daacf8f767b28285b041c9fb9f6853993ce61fc50a1d8a,https://raw.githubusercontent.com/owncloud/android/0c8dfb6e8d63c4b117fe89c8f519219e10b84133/src/com/owncloud/android/providers/FileContentProvider.java,0b4fe005d06d9fd41de8cd211e9dffaf720e0e42bb5b86e6dd2dfb72df4ace81,https://raw.githubusercontent.com/owncloud/android/1b628540c92711ec9ade6bad2ab34d90fabbcc6e/src/com/owncloud/android/providers/FileContentProvider.java,2015-09-24T15:03:56Z
2,owncloud,android,android.database.Cursor,https://github.com/owncloud/android/commit/0c8dfb6e8d63c4b117fe89c8f519219e10b84133,insert() @line 305,FileContentProvider.java,6e07c64eb4e2c9d4d4daacf8f767b28285b041c9fb9f6853993ce61fc50a1d8a,https://raw.githubusercontent.com/owncloud/android/0c8dfb6e8d63c4b117fe89c8f519219e10b84133/src/com/owncloud/android/providers/FileContentProvider.java,0b4fe005d06d9fd41de8cd211e9dffaf720e0e42bb5b86e6dd2dfb72df4ace81,https://raw.githubusercontent.com/owncloud/android/1b628540c92711ec9ade6bad2ab34d90fabbcc6e/src/com/owncloud/android/providers/FileContentProvider.java,2015-09-24T15:03:56Z
3,owncloud,android,android.database.Cursor,https://github.com/owncloud/android/commit/0c8dfb6e8d63c4b117fe89c8f519219e10b84133,insert() @line 339,FileContentProvider.java,6e07c64eb4e2c9d4d4daacf8f767b28285b041c9fb9f6853993ce61fc50a1d8a,https://raw.githubusercontent.com/owncloud/android/0c8dfb6e8d63c4b117fe89c8f519219e10b84133/src/com/owncloud/android/providers/FileContentProvider.java,0b4fe005d06d9fd41de8cd211e9dffaf720e0e42bb5b86e6dd2dfb72df4ace81,https://raw.githubusercontent.com/owncloud/android/1b628540c92711ec9ade6bad2ab34d90fabbcc6e/src/com/owncloud/android/providers/FileContentProvider.java,2015-09-24T15:03:56Z
4,owncloud,android,android.database.Cursor,https://github.com/owncloud/android/commit/eed9eed824f87d799ad678f6ce7e4549bad04f8b,getFileByPath(),FileDataStorageManager.java,c16f2f8beb1c5789550b1f13668e7ee2630dd95359624b161ed617ef3b20f6a5,https://raw.githubusercontent.com/owncloud/android/eed9eed824f87d799ad678f6ce7e4549bad04f8b/src/eu/alefzero/owncloud/datamodel/FileDataStorageManager.java,4c790ec4d2cc96fbfac4d193363b7c334eb22f071e311b00e425b8aaad6a4db6,https://raw.githubusercontent.com/owncloud/android/35ace0b97335cdb8d45b5b2be94c41e17fe9e040/src/eu/alefzero/owncloud/datamodel/FileDataStorageManager.java,2012-06-18T17:40:47Z
5,owncloud,android,android.database.Cursor,https://github.com/owncloud/android/commit/eed9eed824f87d799ad678f6ce7e4549bad04f8b,getFileById(),FileDataStorageManager.java,c16f2f8beb1c5789550b1f13668e7ee2630dd95359624b161ed617ef3b20f6a5,https://raw.githubusercontent.com/owncloud/android/eed9eed824f87d799ad678f6ce7e4549bad04f8b/src/eu/alefzero/owncloud/datamodel/FileDataStorageManager.java,4c790ec4d2cc96fbfac4d193363b7c334eb22f071e311b00e425b8aaad6a4db6,https://raw.githubusercontent.com/owncloud/android/35ace0b97335cdb8d45b5b2be94c41e17fe9e040/src/eu/alefzero/owncloud/datamodel/FileDataStorageManager.java,2012-06-18T17:40:47Z
6,owncloud,android,android.database.Cursor,https://github.com/owncloud/android/commit/21c34ee6d477a95f911b4e93333d8bf1aacacbb4,updateDownloadedFiles(),FileContentProvider.java,c6919d922461efcc46c65c864f8db317ae08b9edde6b0f6f6d2752ad1a9e5803,https://raw.githubusercontent.com/owncloud/android/21c34ee6d477a95f911b4e93333d8bf1aacacbb4/src/com/owncloud/android/providers/FileContentProvider.java,b3edb8e9cbe36920ac8229b7a27e02f4476c4ba54f7704c8bb76fa427c706b63,https://raw.githubusercontent.com/owncloud/android/f12956fe2a4b590e450e9d4df1653e6eed8b636d/src/com/owncloud/android/providers/FileContentProvider.java,2015-04-21T08:16:11Z
7,irccloud,android,android.database.Cursor,https://github.com/irccloud/android/commit/4086f1a27e4bf978bc8039f86ac14f9bad96308f,load(),BuffersList.java,3750822866baf0741d222cb2adedce85b6a4fcadea2ed13857feca002d8f8504,https://raw.githubusercontent.com/irccloud/android/4086f1a27e4bf978bc8039f86ac14f9bad96308f/src/com/irccloud/android/data/collection/BuffersList.java,69ca9a5635bf0e1886afbab4fd4724010884210de448218873aeb10d99ae366f,https://raw.githubusercontent.com/irccloud/android/5f8ca597a55370bb804c93d8b49fccc5448e767b/src/com/irccloud/android/data/collection/BuffersList.java,2015-07-24T20:53:37Z
8,irccloud,android,android.database.Cursor,https://github.com/irccloud/android/commit/4086f1a27e4bf978bc8039f86ac14f9bad96308f,load(),ChannelsList.java,71d6e7002f9e7ef6fd50baee1dec36e2b278eff32b6da8ea75f01c731f3221c7,https://raw.githubusercontent.com/irccloud/android/4086f1a27e4bf978bc8039f86ac14f9bad96308f/src/com/irccloud/android/data/collection/ChannelsList.java,be644d590ca1fed48ffa96a32bc28632b046d5dd9573218f767536f53abbad31,https://raw.githubusercontent.com/irccloud/android/5f8ca597a55370bb804c93d8b49fccc5448e767b/src/com/irccloud/android/data/collection/ChannelsList.java,2015-07-24T20:53:37Z
9,irccloud,android,android.database.Cursor,https://github.com/irccloud/android/commit/4086f1a27e4bf978bc8039f86ac14f9bad96308f,load(),EventsList.java,d2000b22e36bb57d08daad760bccef4767c30127e7a31095135205d1f17480f8,https://raw.githubusercontent.com/irccloud/android/4086f1a27e4bf978bc8039f86ac14f9bad96308f/src/com/irccloud/android/data/collection/EventsList.java,6442eef050dfb73fded54cf2019e27b3189720b9f29455cdc10c1cf80699600c,https://raw.githubusercontent.com/irccloud/android/5f8ca597a55370bb804c93d8b49fccc5448e767b/src/com/irccloud/android/data/collection/EventsList.java,2015-07-24T20:53:37Z
10,irccloud,android,android.database.Cursor,https://github.com/irccloud/android/commit/4086f1a27e4bf978bc8039f86ac14f9bad96308f,load(),ServersList.java,1c7c410a1f5acbb2ebfcc2755c19fda543d4f68e5b2d3a289fc68a9a98fe65ad,https://raw.githubusercontent.com/irccloud/android/4086f1a27e4bf978bc8039f86ac14f9bad96308f/src/com/irccloud/android/data/collection/ServersList.java,4724bf42bc87dc185a34d09fd95e9c4e9ffd6255924dac881fca336cfd45711a,https://raw.githubusercontent.com/irccloud/android/5f8ca597a55370bb804c93d8b49fccc5448e767b/src/com/irccloud/android/data/collection/ServersList.java,2015-07-24T20:53:37Z
