ID,projects,UTC of create,UTC of last modify,UTC of buggy commit,UTC of fix commit,defect file hash,fix file hash
1,aaberg/sql2o,2011-05-18T21:13:57Z,2023-02-25T21:00:57Z,2014-01-22T05:35:20Z,2014-01-22T19:54:43Z,4c12a0694ebb63cdd72de4da2a3ac3b52a5ff47bb9b54b50030a98104f5f1af1,1463349dccf581a7a6b889f8c4c92170f0971836d60e0ae09da40522fc531e95
2,abarisain/dmix,2010-06-23T08:35:14Z,2021-12-09T07:27:26Z,2014-03-10T15:13:05Z,2014-03-10T15:13:05Z,fc4ccd4ab8923044ced94b7cf1c178f783b3768acff1baea6927cc88c8065381,86423b67b8dae17382eafcaa5450f4358203b056eb490aa202f1807d5b70d0c9
3,actiontech/dble,2017-08-24T10:58:41Z,2023-06-20T08:35:34Z,2018-02-28T07:10:38Z,2018-05-16T15:12:50Z,0121bc390be5234afdf2016b0ab886a5c0e063c33db11d37e01248fa3d0f4d46,08a2ddec8e7fcf2cd6d26bb54dd9b61424e54df9df1d7ace4a295341824a0fc6
4,adempiere/adempiere,2015-01-08T01:15:53Z,2023-06-23T13:43:49Z,2008-02-12T05:24:02Z,2008-02-16T03:09:40Z,44acfbf7cc7bf9f3985c176a3f3b3a8b1ff7c646c89eb22185107a1ae4556b7d,e96d08176d04fd537c59ff85ef22156d991ee043a992ae01a99496cbcf16a919
5,airsonic/airsonic,2017-07-04T17:58:56Z,2021-08-11T21:09:11Z,2016-05-15T09:27:13Z,2016-12-07T05:25:45Z,ac1000e7b83f3cb3bbe5c4277dc4bddbd25b45a93e909765e3487ef673965844,8e6bf88c4b090088437b50baeaf12fa52c6d062bcd009d62026001c09481fbb3
6,airsonic/airsonic,2017-07-04T17:58:56Z,2021-08-11T21:09:11Z,2016-05-14T23:36:14Z,2016-12-07T05:25:45Z,223be9f824669c4c52fc6c178c489945253613285facb25243c003eed7bd7b26,52570922cc71355c09903b2472f8a21a0c1010b9ee9a067976a9c4801c59005d
7,alfio-event/alf.io,2014-07-26T10:12:57Z,2023-06-22T09:35:27Z,2017-07-27T13:03:02Z,2018-09-13T13:25:14Z,81492aad15bc92048da10d208cc3aa21319d7baf18bfe2fc965fc9985c4e0c89,0c76a26913ab2a062a8cfd8e992f9ca42a84e0a3e26143e86fce12baa6135739
8,alibaba/ARouter,2016-12-14T01:27:49Z,2023-05-17T12:17:20Z,2017-02-23T14:50:46Z,2017-05-08T06:51:29Z,027863a3c259b472bbc5f1680488ac06374070f5a3e9d0a7ff481b72d472054a,c83de395d2791547de91eb6a43ddfc81976817dbbc1df55a86100116f77d5d1e
9,alibaba/nacos,2018-06-15T06:49:27Z,2023-06-21T02:54:24Z,2022-08-12T08:42:38Z,2022-08-22T01:40:53Z,5d03b5ba3c2faa3099239a098556f9f36519cfd59a155d82166d9729ee97c9f8,d9fd84d5fd9e72c3725a964fa9a3a4ed1011ce34ac4e27a51f63f3baceaf4749
10,aliyun/aliyun-oss-android-sdk,2015-12-03T10:10:43Z,2023-06-14T11:39:26Z,2021-10-20T03:01:38Z,2021-10-20T03:01:38Z,1b908765da9cfed9fb1fdf542b9933d71b53a424c53aa589cb59979f630ce74c,94426f09ee9ffb152bee600ca63f6d4c29fded28ad53499f2d170a0bde8a4522
11,Alluxio/alluxio,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,2022-06-03T23:48:36Z,2022-06-06T21:43:03Z,593f4c5abe63419e3f06c935a3b8abd09091a3972012880f517e8ae9e8ddaf7e,94dddb61cadce7e23fd43e6bcea1467ebf840ab4f9a469a2991781a82b933c60
12,Alluxio/alluxio,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,2018-02-16T18:04:41Z,2018-03-06T04:40:58Z,ec06f93f36132f26821ea258901ee82c156facf291d651f0714f3dd29d821683,ee5b1c9bb132667dbde54ceb1a597d11888b00d48edc2f1ab3dba0e02997f95b
13,Alluxio/alluxio,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,2014-08-28T02:07:34Z,2014-08-28T02:07:34Z,4be138713aa02b710f6d4e07b1da910187035a7297d7919df5306f0c3cb7a3d4,dba4fc793cf1d5d17f32aa0c29531be31dcdd6ccce017332a16e9f211d60b27b
14,Alluxio/alluxio,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,2014-08-21T21:14:36Z,2014-08-28T02:07:34Z,8e9d878ea3b11e04d7877f763c3b408cfd3da2094970af26909ef34641595cda,4be138713aa02b710f6d4e07b1da910187035a7297d7919df5306f0c3cb7a3d4
15,Alluxio/alluxio,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,2022-08-25T17:37:02Z,2022-10-19T02:04:15Z,a0d9ca02fd307f3bcce2725a3693a258b3eb49d592a13e23cd4c74bc9f285c57,133e03ef68032025d534051708dfa36787dc6bba57567cb8fcc435672053c72f
16,Alluxio/alluxio,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,2021-10-02T06:46:52Z,2021-11-01T20:41:15Z,225f401f78202eadf03fe48b5424d8b3cfdd364fc16741f56dd755b8412529ff,cc9640edaf7951fd6b0f8043b0bd02d7a3ca7ef00ddf325d11f3a3c9d28445c3
17,Alluxio/alluxio,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,2020-06-12T18:46:58Z,2021-11-01T20:41:15Z,302e5eeecaa2ae0f6604494d59fe5b1a87b30278e7848d4272defc5ea4ce81a8,a247054955371e89684ecbf8bb696bb5a95e9c00054c0b5bac631b5656e85b84
18,Alluxio/alluxio,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,2020-12-18T20:49:47Z,2021-08-11T19:33:11Z,43f7a0a3398e6f288a789dffdfc127b8aa76d28bae400a44222b08ba65b61eae,84875582742b934298601879a8da338bd0137712e9f48946b2ab2dcf35a464b4
